tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
21,5.25,319908.19507045025,47.52900393807253,20.324771578921105,15.608472348528522,8.252471743471677,0.09020994078013923,0.004857559118050488,0.18213214020562316,0,0.0,0.0,0,0,0.0,0.0,0
22,5.5,319904.3982510258,48.949373165635265,20.886510027706773,16.575384775928725,9.089122155369049,0.10135884960051675,0.005287996682069503,0.19461475473497566,0,0.0,0.0,0,0,0.0,0.0,0
23,5.75,319900.44169422775,50.45846130540496,21.469111719229005,17.549895000294992,9.96763933720808,0.11319841015475153,0.005726842846528054,0.20701834351656387,0,0.0,0.0,0,0,0.0,0.0,0
24,6.0,319896.32259732427,52.054635143605914,22.07514980956809,18.533296414940917,10.888587258207393,0.12573404944067654,0.006173411319344002,0.21933454200193123,0,0.0,0.0,0,0,0.0,0.0,0
25,6.25,319892.03776020295,53.73674050771032,22.70688604803695,19.52702920726778,11.852611915724152,0.1389721183084915,0.006627144824223719,0.23155946593209567,0,0.0,5.859375e-07,0,0,0.0,0.0,0
26,6.5,319887.58360394754,55.50405973777103,23.366322533419172,20.53265176061098,12.860442024379054,0.15291999631368278,0.0070876067271534665,0.24369296126246842,0,0.0,1.6556919642857143e-06,0,0,0.0,0.0,0
27,6.75,319882.9561870055,57.35627369295324,24.055246722681012,21.55181695916702,13.912889443620712,0.16758617614269058,0.007554472257134696,0.2557379385737199,0,0.0,3.1225956881776148e-06,0,0,0.0,0.0,0
28,7.0,319878.1512191454,59.29342786839804,24.775270521375017,22.58625271482642,15.010849418944142,0.1829803311135242,0.00802751960217894,0.2676997877222944,0,0.0,4.9134019381586945e-06,0,0,0.0,0.0,0
29,7.25,319873.16407338646,61.31590223385838,25.527864189672147,23.637746121257173,16.15530069998271,0.19911336876697164,0.008506621092809889,0.27958586714779526,0,0.0,6.966500842189328e-06,0,0,0.0,0.0,0
30,7.5,319867.9897960694,63.424384439217285,26.31438571300148,24.708130716866258,17.34730558836488,0.2159974731392982,0.008991734630091914,0.2914050615699167,0,0.0,9.230354741526637e-06,0,0,0.0,0.0,0
31,7.75,319862.62311522354,65.61984606314766,27.13610621058721,25.799276405453284,18.588009959355222,0.23364613793705982,0.009482895471123102,0.30316740157372596,0,0.0,1.1662127759748598e-05,0,0,0.0,0.0,0
32,8.0,319857.05844737357,67.90352160992848,27.99423188779931,26.91308164248114,19.878643293697337,0.25207419251238367,0.009980208449981712,0.3148837386512566,0,0.0,1.422648708144803e-05,0,0,0.0,0.0,0
33,8.25,319851.28990291705,70.27688998592171,28.889922978313653,28.051467546834623,21.220518749581306,0.27129782225701293,0.010483840684614297,0.3265654695323854,0,0.0,1.6894555891000425e-05,0,0,0.0,0.0,0
34,8.5,319845.3112901921,72.74165821157344,29.824310068831736,29.21637364353548,22.615033299125,0.29133458479046626,0.010994014798702696,0.33822430402197917,0,0.0,1.9643000127299333e-05,0,0,0.0,0.0,0
35,8.75,319839.116118346,75.29974714715621,30.798508151836142,30.409754982857308,24.06366794906062,0.31220342310727733,0.01151100267099002,0.34987207100900225,0,0.0,2.245323318752081e-05,0,0,0.0,0.0,0
36,9.0,319832.69759910484,77.9532790309542,31.813628709922867,31.63358041628583,25.567988061344,0.33392467666646114,0.012035119711931693,0.3615205577890225,0,0.0,2.5310724483862303e-05,0,0,0.0,0.0,0
37,9.25,319826.0587627372,80.69445144702296,32.870790098084605,32.88983184037698,27.12964378605576,0.3565200912495225,0.012566719658086839,0.3731813783188539,0,0.0,2.8204399341905047e-05,0,0,0.0,0.0,0
38,9.5,319819.2132134615,83.5052781503748,33.97062069739249,34.18050424629129,28.750370616155873,0.38001282827836325,0.0131061898677407,0.3848658664842879,0,0.0,3.112611914608466e-05,0,0,0.0,0.0,0
39,9.75,319812.1747625864,86.36846511789031,35.11279347121548,35.507568504085334,30.431982846167394,0.4044274741685712,0.013653945879059416,0.3965849129932696,0,0.0,3.407023190338173e-05,0,0,0.0,0.0,0
40,10.0,319804.9575090397,89.26729540871796,36.296145881465755,36.872900567852014,32.17635907911345,0.4297900231000607,0.0142104243419971,0.40834869891415904,0,0.0,3.703318452590317e-05,0,0,0.0,0.0,0
41,10.25,319797.5758903985,92.18554927949232,37.518783341056505,38.27822220296724,33.985426968723495,0.45612780921995505,0.014776075025736536,0.42016638639441545,0,0.0,4.001318914025313e-05,0,0,0.0,0.0,0
42,10.5,319790.0446948298,95.10746738430248,38.77816943529393,39.72505158915479,35.8611473649853,0.4834693965077888,0.015351352453669236,0.43204580699802336,0,0.0,4.300993662894438e-05,0,0,0.0,0.0,0
43,10.75,319782.3790265941,98.0177622507148,40.07120624778638,41.214662454332014,37.805498019681345,0.5118444333571851,0.015936707596005496,0.44399317396439847,0,0.0,4.6024351407854894e-05,0,0,0.0,0.0,0
44,11.0,319774.5942192274,100.90168150490338,41.394308088198336,42.74805069240414,39.82045700912277,0.5412834779674223,0.016532579951592578,0.4560128348246679,0,0.0,4.905838215408957e-05,0,0,0.0,0.0,0
45,11.25,319766.7056923535,103.74512430354805,42.743471798425794,44.32590770286171,41.907986041759756,0.571817799890568,0.01713939027129434,0.4681070739836235,0,0.0,5.211482382977888e-05,0,0,0.0,0.0,0
46,11.5,319758.72875026544,106.53481017644432,44.11434660302947,45.948599955498594,44.07001383705171,0.6034791625354691,0.017757534111745563,0.4802759701989757,0,0.0,5.519716690765545e-05,0,0,0.0,0.0,0
47,11.75,319750.67832288897,109.25849704406352,45.502306165152625,47.61615452374371,46.308419786966006,0.636299591075111,0.01838737635731116,0.49251731072030286,0,0.0,5.830947020119248e-05,0,0,0.0,0.0,0
48,12.0,319742.56865246635,111.90524261450943,46.90252510975288,49.32825053885361,48.6250181405135,0.6703111300206425,0.019029246806967465,0.504826561721965,1,0.0,6.145625414242584e-05,0,0,0.0,0.0,0
